INSEE_COM;Annee;NbMaisonsVendues;NbAppartsVendus;PrixMoyen;Prixm2Moyen;SurfaceMoy;;PrixMoyenGen
22112;2018;5;0;100200,00;921,40;104,00;;
22112;2019;5;0;112992,00;1387,80;88,40;;
22112;2020;6;0;206373,33;1447,17;137,67;;
22112;2021;2;0;160000,00;1574,50;101,00;;
22113;2018;216;90;131683,02;1522,40;88,97;;
22113;2019;232;113;133189,09;1536,51;87,17;;
22113;2020;217;101;140061,89;1628,03;86,75;;
22113;2021;262;119;161727,31;1865,57;87,77;;
22114;2018;11;0;101974,64;1393,64;84,36;;
22114;2019;19;0;107102,32;918,47;124,00;;
22114;2020;19;0;85248,42;862,11;101,37;;
22114;2021;23;0;96807,61;982,48;102,35;;
22115;2018;8;0;64625,00;665,00;99,63;;
22115;2019;7;0;94370,29;731,86;126,71;;
22115;2020;8;0;55462,50;708,75;81,25;;
22115;2021;13;0;85849,62;957,38;93,62;;
22116;2018;7;0;149285,71;1435,00;101,86;;
22116;2019;8;0;68437,50;894,38;77,00;;
22116;2020;12;0;130279,00;1242,50;114,75;;
22116;2021;17;0;126941,18;1273,53;96,29;;
22117;2018;7;0;176714,29;1579,43;116,29;;
22117;2019;20;0;168421,00;1656,75;103,20;;
22117;2020;16;0;177043,94;1586,69;116,94;;
22117;2021;23;0;212908,70;1993,57;108,39;;
22118;2018;57;7;171896,11;1878,11;98,20;;
22118;2019;63;11;172822,64;1778,07;102,09;;
22118;2020;64;9;188429,05;1909,86;99,88;;
22118;2021;86;16;201196,37;2260,74;91,75;;
22119;2018;4;0;142250,00;1205,25;117,00;;
22119;2019;21;0;127416,05;1397,24;88,38;;
22119;2020;25;0;110270,80;1444,52;80,96;;
22119;2021;14;0;115205,00;1663,14;72,79;;
22121;2018;31;2;97530,48;1110,24;89,94;;
22121;2019;28;0;139636,79;1448,89;101,39;;
22121;2020;25;3;123690,89;1317,04;98,64;;
22121;2021;34;4;170805,53;1689,84;105,92;;
22122;2018;13;0;85693,85;794,46;109,00;;
22122;2019;10;0;59456,00;627,70;99,80;;
22122;2020;10;0;84300,00;924,00;91,30;;
22122;2021;25;0;113311,36;1030,24;108,72;;
22124;2018;2;0;111750,00;977,00;102,50;;
22124;2019;2;0;117064,50;1001,50;127,00;;
22124;2020;8;0;92948,75;880,38;104,25;;
22124;2021;4;0;95500,00;817,25;108,75;;
22126;2018;2;0;47750,00;969,00;48,00;;
22126;2019;2;0;83750,00;1409,50;60,00;;
22126;2020;2;0;117550,00;949,00;124,00;;
22126;2021;2;0;131928,50;1113,50;103,00;;
22127;2018;32;2;154182,50;1814,65;89,88;;
22127;2019;39;3;201470,00;1890,19;111,31;;
22127;2020;34;1;184752,57;1797,17;103,89;;
22127;2021;38;2;197477,55;1900,68;106,30;;
22128;2018;6;0;102666,67;903,50;106,83;;
22128;2019;12;0;67000,00;830,33;78,75;;
22128;2020;6;0;92993,17;810,83;107,50;;
22128;2021;18;0;87860,72;986,28;90,17;;
22129;2018;2;0;34500,00;552,50;71,00;;
22129;2019;2;0;41500,00;731,50;53,00;;
22129;2020;4;0;82000,00;986,50;89,00;;
22129;2021;5;0;86420,00;1007,20;95,40;;
22131;2018;13;0;81423,85;1243,00;78,23;;
22131;2019;17;0;78882,35;864,65;95,12;;
22131;2020;18;0;79569,44;895,56;102,44;;
22131;2021;36;0;83995,25;1029,36;82,69;;
22132;2018;2;0;61650,00;728,00;105,00;;
22132;2019;4;0;44750,00;735,75;65,50;;
22132;2020;3;0;101253,33;1598,67;77,67;;
22132;2021;5;0;103400,00;1154,60;87,20;;
22133;2018;10;0;116600,00;1311,20;88,60;;
22133;2019;9;0;113522,22;1044,78;106,56;;
22133;2020;8;0;111250,00;1054,25;113,75;;
22133;2021;12;0;108983,33;1218,33;92,25;;
22134;2018;42;2;205424,00;1881,09;109,75;;
22134;2019;58;1;205810,93;2061,24;101,53;;
22134;2020;60;0;220040,32;2005,12;109,82;;
22134;2021;44;0;318746,23;2655,02;121,02;;
22135;2018;27;0;109807,41;1088,22;104,30;;
22135;2019;32;0;107207,81;1117,31;104,47;;
22135;2020;43;0;112759,05;1182,28;99,28;;
22135;2021;59;0;131177,46;1335,80;100,64;;
22136;2018;76;18;114349,99;1238,78;96,00;;
22136;2019;84;29;103874,60;1205,62;91,52;;
22136;2020;94;26;108400,08;1192,15;94,05;;
22136;2021;118;46;119232,01;1446,24;88,04;;
22137;2018;27;0;109922,41;1039,07;100,96;;
22137;2019;35;0;66832,57;706,94;94,94;;
22137;2020;36;0;71867,75;837,53;89,89;;
22137;2021;33;0;100962,21;1157,97;93,79;;
22138;2018;9;0;58660,89;715,22;90,78;;
22138;2019;5;0;40680,00;671,40;64,40;;
22138;2020;7;0;147021,43;1219,86;104,71;;
22138;2021;14;0;82944,64;999,71;80,64;;
22139;2018;1;0;77000,00;1925,00;40,00;;
22139;2020;2;0;99000,00;906,50;103,50;;
